Name,Target Name,Object Name,Type,Object Type,Inst Num,Value,Export Ord,Export,Fault Cause,Description,BACnet Writable
analogValue_332,PowerFactorAvg,BcpLonNetwork.L108A_108D_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,332,"1,00 {ok}",h:9441,{ok},,,no
analogValue_340,EngyPosSum,BcpLonNetwork.S4E3_L126_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,340,"1324,7 kW-hr {ok}",h:9443,{ok},,,no
analogValue_341,PowerSum,BcpLonNetwork.S4E3_L126_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,341,"5,02 W {ok}",h:9445,{ok},,,no
analogValue_342,PowerFactorAvg,BcpLonNetwork.S4E3_L126_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,342,"0,59 {ok}",h:9447,{ok},,,no
analogValue_350,EngyPosSum,BcpLonNetwork.L206C_D_E_SE18_17_13_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,350,"1,1 kW-hr {ok}",h:a66f,{ok},,,no
analogValue_351,PowerSum,BcpLonNetwork.L206C_D_E_SE18_17_13_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,351,"0,00 W {ok}",h:a671,{ok},,,no
analogValue_352,PowerFactorAvg,BcpLonNetwork.L206C_D_E_SE18_17_13_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,352,"1,00 {ok}",h:a673,{ok},,,no
analogValue_360,EngyPosSum,BcpLonNetwork.L110F_128A_129_130_141_ESC4_SE23_24_CP.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,360,"202,5 kW-hr {ok}",h:a675,{ok},,,no
analogValue_361,PowerSum,BcpLonNetwork.L110F_128A_129_130_141_ESC4_SE23_24_CP.PowerSum,Bacnet Analog Value Descriptor,Analog Value,361,"3,67 W {ok}",h:a677,{ok},,,no
analogValue_362,PowerFactorAvg,BcpLonNetwork.L110F_128A_129_130_141_ESC4_SE23_24_CP.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,362,"0,45 {ok}",h:a679,{ok},,,no
analogValue_370,EngyPosSum,BcpLonNetwork.L224_S11E_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,370,"168580,5 kW-hr {down}",h:a67b,{ok},,,no
analogValue_371,PowerSum,BcpLonNetwork.L224_S11E_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,371,"0,00 W {down}",h:a67d,{ok},,,no
analogValue_372,PowerFactorAvg,BcpLonNetwork.L224_S11E_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,372,"1,00 {down}",h:a67f,{ok},,,no
analogValue_380,EngyPosSum,BcpLonNetwork.L225_S10E_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,380,"1,3 kW-hr {down}",h:a681,{ok},,,no
analogValue_381,PowerSum,BcpLonNetwork.L225_S10E_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,381,"0,00 W {down}",h:a683,{ok},,,no
analogValue_382,PowerFactorAvg,BcpLonNetwork.L225_S10E_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,382,"1,00 {down}",h:a685,{ok},,,no
